timeofday,xjo,kospi,nikkei
16:42:00,-0.00000001,0.21536563,-0.48467455
16:43:00,-0.00000001,0.22427020,-0.48417861
16:44:00,-0.00000001,0.23012791,-0.47501987
16:45:00,-0.00000001,0.25174751,-0.47217147
16:46:00,-0.00000001,0.20978587,-0.46941851
16:47:00,-0.00000001,0.16376002,-0.46703028
16:48:00,-0.00000001,0.12729493,-0.43646806
16:49:00,-0.00000001,0.14380284,-0.45674624
16:50:00,-0.00000001,0.11349148,-0.48800629
16:51:00,-0.00000001,0.11864489,-0.45935313
16:52:00,-0.00000001,0.18760008,-0.45426581
16:53:00,-0.00000001,0.15342416,-0.45651620
16:54:00,-0.00000001,0.17584351,-0.46058214
16:55:00,-0.00000001,0.25839717,-0.45685900
16:56:00,-0.00000001,0.25686166,-0.45835169
16:57:00,-0.00000001,0.29195843,-0.55322981
16:58:00,-0.00000001,0.20597279,-0.53228762
16:59:00,-0.00000001,0.18206091,-0.49805549
17:00:00,-0.00000001,0.17813938,-0.53405052
17:01:00,-0.00000001,-0.00000001,-0.50312149
17:02:00,-0.00000001,-0.00000001,-0.48497969
17:03:00,-0.00000001,-0.00000001,-0.49599798
17:04:00,-0.00000001,-0.00000001,-0.49091988
17:05:00,-0.00000001,-0.00000001,-0.52645506
17:06:00,-0.00000001,-0.00000001,-0.56897349
17:07:00,-0.00000001,-0.00000001,-0.54860645
17:08:00,-0.00000001,-0.00000001,-0.48586234
17:09:00,-0.00000001,-0.00000001,-0.49936179
17:10:00,-0.00000001,-0.00000001,-0.48689841
17:11:00,-0.00000001,-0.00000001,-0.47958857
17:12:00,-0.00000001,-0.00000001,-0.47837838
17:13:00,-0.00000001,-0.00000001,-0.41855480
17:14:00,-0.00000001,-0.00000001,-0.43420522
17:15:00,-0.00000001,-0.00000001,-0.40663821
17:16:00,-0.00000001,-0.00000001,-0.38819137
17:17:00,-0.00000001,-0.00000001,-0.36350871
17:18:00,-0.00000001,-0.00000001,-0.37685555
17:19:00,-0.00000001,-0.00000001,-0.38478703
17:20:00,-0.00000001,-0.00000001,-0.38035729
17:21:00,-0.00000001,-0.00000001,-0.33288000
17:22:00,-0.00000001,-0.00000001,-0.31485011
17:23:00,-0.00000001,-0.00000001,-0.33132034
17:24:00,-0.00000001,-0.00000001,-0.30371338
17:25:00,-0.00000001,-0.00000001,-0.30146493
17:26:00,-0.00000001,-0.00000001,-0.29402465
17:27:00,-0.00000001,-0.00000001,-0.35879661
17:28:00,-0.00000001,-0.00000001,-0.31842002
17:29:00,-0.00000001,-0.00000001,-0.32724624
17:30:00,-0.00000001,-0.00000001,-0.29624258
17:31:00,-0.00000001,-0.00000001,-0.00000001
17:32:00,-0.00000001,-0.00000001,-0.00000001
17:33:00,-0.00000001,-0.00000001,-0.00000001
17:34:00,-0.00000001,-0.00000001,-0.00000001
17:35:00,-0.00000001,-0.00000001,-0.00000001
17:36:00,-0.00000001,-0.00000001,-0.00000001
17:37:00,-0.00000001,-0.00000001,-0.00000001
17:38:00,-0.00000001,-0.00000001,-0.00000001
17:39:00,-0.00000001,-0.00000001,-0.00000001
17:40:00,-0.00000001,-0.00000001,-0.00000001
17:41:00,-0.00000001,-0.00000001,-0.00000001
17:42:00,-0.00000001,-0.00000001,-0.00000001
17:43:00,-0.00000001,-0.00000001,-0.00000001
17:44:00,-0.00000001,-0.00000001,-0.00000001
17:45:00,-0.00000001,-0.00000001,-0.00000001
17:46:00,-0.00000001,-0.00000001,-0.00000001
17:47:00,-0.00000001,-0.00000001,-0.00000001
17:48:00,-0.00000001,-0.00000001,-0.00000001
17:49:00,-0.00000001,-0.00000001,-0.00000001
17:50:00,-0.00000001,-0.00000001,-0.00000001
17:51:00,-0.00000001,-0.00000001,-0.00000001
17:52:00,-0.00000001,-0.00000001,-0.00000001
17:53:00,-0.00000001,-0.00000001,-0.00000001
17:54:00,-0.00000001,-0.00000001,-0.00000001
17:55:00,-0.00000001,-0.00000001,-0.00000001
17:56:00,-0.00000001,-0.00000001,-0.00000001
17:57:00,-0.00000001,-0.00000001,-0.00000001
17:58:00,-0.00000001,-0.00000001,-0.00000001
17:59:00,-0.00000001,-0.00000001,-0.00000001
18:00:00,-0.00000001,-0.00000001,-0.00000001
